,_id,away_score,away_scorers,away_team_id,finished,group,home_score,home_scorers,home_team_id,id,local_date,matchday,persian_date,stadium_id,time_elapsed,type,home_team_fa,away_team_fa,home_team_en,away_team_en,home_flag,away_flag
10,629c9c8a5749c4077500eade,0,['null'],22,TRUE,E,7,"['Dani Olmo,Marco Asensio,Ferran Torres,Ferran Torres,Gavi,Carlos Soler,Álvaro Morata']",21,11,11/23/2022 19:00,4,1400-09-02 19:30,1,finished,group,اسپانیا,کاستاریکا,Spain,Costa Rica,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/125px-Flag_of_Spain.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Costa_Rica_%28state%29.svg/125px-Flag_of_Costa_Rica_%28state%29.svg.png
11,629c9c8a5749c4077500eadf,0,['null'],24,TRUE,F,1,['Michy Batshuayi'],23,12,11/23/2022 22:00,4,1400-09-02 22:30,1,finished,group,بلژیک,کانادا,Belgium,Canada,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/125px-Flag_of_Belgium.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/125px-Flag_of_Canada_%28Pantone%29.svg.png
12,629c9c8a5749c4077500eae0,0,['null'],26,TRUE,G,2,"['Richarlison,Richarlison']",25,13,11/24/2022 22:00,5,1400-09-03 22:30,1,finished,group,برزیل,صربستان,Brazil,Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/125px-Flag_of_Brazil.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/125px-Flag_of_Serbia.svg.png
13,629c9c8a5749c4077500eae1,2,"['André Ayew,Osman Bukari']",28,TRUE,H,3,"['Cristiano Ronaldo,João Félix,Rafael Leão']",27,14,11/24/2022 19:00,5,1400-09-03 19:30,1,finished,group,پرتغال,غنا,Portugal,Ghana,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/125px-Flag_of_Portugal.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/125px-Flag_of_Ghana.svg.png
14,629c9c8a5749c4077500eae2,0,['null'],30,TRUE,H,0,['null'],29,15,11/24/2022 16:00,5,1400-09-03 16:30,1,finished,group,اروگوئه,کره جنوبی,Uruguay,South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/125px-Flag_of_Uruguay.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/125px-Flag_of_South_Korea.svg.png
15,629c9c8a5749c4077500eae3,0,['null'],32,TRUE,G,1,['Michy Batshuayi'],31,16,11/24/2022 13:00,5,1400-09-03 13:30,1,finished,group,سوئیس,کامرون,Switzerland,Cameroon,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/100px-Flag_of_Switzerland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/125px-Flag_of_Cameroon.svg.png
16,629c9c8a5749c4077500eae4,0,['null'],8,TRUE,B,2,"['Rouzbeh Cheshmi,Ramin Rezaeian']",6,17,11/25/2022 13:00,6,1400-09-04 13:30,1,finished,group,ایران,ولز,Iran,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/125px-Flag_of_Iran.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Flag_of_Wales_%281959%29.svg/125px-Flag_of_Wales_%281959%29.svg.png
17,629c9c8a5749c4077500eae5,3,"['Boulaye Dia,Famara Diedhiou,Bamba Dieng']",3,TRUE,A,1,['Mohammed Muntari'],1,18,11/25/2022 16:00,6,1400-09-04 16:30,1,finished,group,قطر,سنگال,Qatar,Senegal,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/125px-Flag_of_Qatar.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/125px-Flag_of_Senegal.svg.png
18,629c9c8a5749c4077500eae6,1,['Enner Valencia'],2,TRUE,A,1,['Cody Gakpo'],4,19,11/25/2022 19:00,6,1400-09-04 19:30,1,finished,group,هلند,اکوادور,Netherlands,Ecuador,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/125px-Flag_of_the_Netherlands.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/125px-Flag_of_Ecuador.svg.png
19,629c9c8a5749c4077500eae7,0,['null'],7,TRUE,B,0,['null'],5,20,11/25/2022 22:00,6,1400-09-04 22:30,1,finished,group,انگلستان,آمریکا,England,United States,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/125px-Flag_of_England.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/125px-Flag_of_the_United_States.svg.png
20,629c9c8a5749c4077500eae8,0,['null'],16,FALSE,D,0,['null'],12,21,11/26/2022 13:00,7,1400-09-05 13:30,1,notstarted,group,تونس,استرالیا,Tunisia,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/125px-Flag_of_Tunisia.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/125px-Flag_of_Australia_%28converted%29.svg.png
21,629c9c8a5749c4077500eae9,0,['null'],10,FALSE,C,0,['null'],14,22,11/26/2022 16:00,7,1400-09-05 16:30,1,notstarted,group,لهستان,عربستان,Poland,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/125px-Flag_of_Poland.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/125px-Flag_of_Saudi_Arabia.svg.png
22,629c9c8a5749c4077500eaea,0,['null'],11,FALSE,D,0,['null'],15,23,11/26/2022 19:00,7,1400-09-05 19:30,1,notstarted,group,فرانسه,دانمارک,France,Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg/125px-Flag_of_France_%281794%E2%80%931815%2C_1830%E2%80%931974%2C_2020%E2%80%93present%29.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/125px-Flag_of_Denmark.svg.png
